algo,taille,capacite,temps,revenu
progdyn,10000,100,1483.03,46503
progdyn,10000,100,1669.35,52101
progdyn,10000,100,1890.54,58601
progdyn,10000,100,2101.65,64267
progdyn,10000,1000,2148.9,91966
progdyn,10000,1000,4138.49,158020
progdyn,10000,1000,5954.83,219755
progdyn,10000,1000,7941.63,281865
progdyn,10000,1000,9569.09,338929
progdyn,10000,1000,12000.4,400617
progdyn,10000,1000,0,0
progdyn,10000,1000,0,0
progdyn,10000,1000,0,0
progdyn,10000,1000,0,0
local,100,10,0.3229,17
local,100,10,0.2108,18
local,100,10,0.6663,24
local,100,10,0.8559,30
local,100,10,3.1823,46
local,100,10,10.0907,83
local,100,10,4.4953,53
local,100,10,4.1427,58
local,100,10,3.6153,70
local,100,10,5.587,71
local,100,100,0.3583,147
local,100,100,0.1695,145
local,100,100,0.6361,212
local,100,100,1.4577,269
local,100,100,1.3521,332
local,100,100,2.0619,412
local,100,100,4.2285,483
local,100,100,4.0225,542
local,100,100,4.7909,569
local,100,100,7.4717,658
local,100,1000,0.2534,1552
local,100,1000,0.3761,1509
local,100,1000,0.8249,2214
local,100,1000,1.1442,2944
local,100,1000,2.5848,3257
local,100,1000,3.1304,4093
local,100,1000,4.2773,4178
local,100,1000,4.162,4679
local,100,1000,5.4858,5993
local,100,1000,4.6088,6281
local,1000,10,4036.43,92
local,1000,10,21517.1,175
local,1000,10,59180.7,253
local,1000,10,113637,331
local,1000,10,166921,393
local,1000,10,183057,437
