capFour
progdyn,100,10,11
progdyn,100,10,11
progdyn,100,10,15
progdyn,100,10,22
progdyn,100,10,32
progdyn,100,10,64
progdyn,100,10,38
progdyn,100,10,43
progdyn,100,10,55
progdyn,100,10,56
progdyn,100,100,101
progdyn,100,100,107
progdyn,100,100,147
progdyn,100,100,184
progdyn,100,100,268
progdyn,100,100,310
progdyn,100,100,347
progdyn,100,100,443
progdyn,100,100,455
progdyn,100,100,525
progdyn,100,1000,1001
progdyn,100,1000,1118
progdyn,100,1000,1553
progdyn,100,1000,2086
progdyn,100,1000,2221
progdyn,100,1000,3055
progdyn,100,1000,3270
progdyn,100,1000,3736
progdyn,100,1000,4734
progdyn,100,1000,5240
progdyn,1000,10,54
progdyn,1000,10,111
progdyn,1000,10,163
progdyn,1000,10,218
progdyn,1000,10,275
progdyn,1000,10,324
progdyn,1000,10,379
progdyn,1000,10,445
progdyn,1000,10,494
progdyn,1000,10,557
progdyn,1000,100,496
progdyn,1000,100,1027
progdyn,1000,100,1488
progdyn,1000,100,2004
progdyn,1000,100,2564
progdyn,1000,100,3064
progdyn,1000,100,3431
progdyn,1000,100,4080
progdyn,1000,100,4525
progdyn,1000,100,5121
progdyn,1000,1000,4960
progdyn,1000,1000,9948
progdyn,1000,1000,14447
progdyn,1000,1000,20306
progdyn,1000,1000,24862
progdyn,1000,1000,29882
progdyn,1000,1000,33969
progdyn,1000,1000,38205
progdyn,1000,1000,45353
progdyn,1000,1000,49097
progdyn,10000,10,546
progdyn,10000,10,1100
progdyn,10000,10,1638
progdyn,10000,10,2195
progdyn,10000,10,2745
progdyn,10000,10,3324
progdyn,10000,10,3857
progdyn,10000,10,4422
progdyn,10000,10,4941
progdyn,10000,10,5449
progdyn,10000,100,5028
progdyn,10000,100,9997
progdyn,10000,100,14998
progdyn,10000,100,20234
progdyn,10000,100,25041
progdyn,10000,100,30513
progdyn,10000,100,35299
progdyn,10000,100,40062
progdyn,10000,100,45744
progdyn,10000,100,50892
progdyn,10000,1000,50340
progdyn,10000,1000,100327
progdyn,10000,1000,148413
progdyn,10000,1000,199351
progdyn,10000,1000,247973
progdyn,10000,1000,300675
progdyn,10000,1000,347683
progdyn,10000,1000,395882
progdyn,10000,1000,447507
progdyn,10000,1000,500042
